m199,m99,m49,m19,m9,m5,m3,m1,p5
-76.0461264563674,-70.4874684384113,-29.8218231978273,-30.3058073323119,-18.0482170387235,-9.15178677969175,-10.0572284987423,-5.60352439728702,-6.2330856136432
-71.0727020121057,-80.9607780271455,-40.6525984435571,-32.4458111088441,-17.0567489579994,-7.27991683426118,-15.1806620225985,-1.77650179253258,-7.29740495691121
-69.4846537625097,-75.6826836972673,-46.2743921039942,-27.7221243640586,-15.9046850552543,-13.4519439879553,-8.86086537231478,-1.28516743586463,-3.1686364038929
-57.8130015661022,-68.1842942326586,-39.2571228466095,-28.0011283717401,-10.0050582181454,-15.319591840705,-1.89926364016615,1.14977189381632,-8.49780648424657
-61.2083102915658,-59.8625121565188,-31.0463187200854,-28.4553116836064,-9.02013691577201,-5.47615415419235,1.86399954234282,1.98222764630728,-8.62683777959992
-73.388410400505,-75.786451652312,-34.346303422719,-36.7326369800257,-12.4142284120294,-6.6474253252703,-3.4563150286075,-6.77620996477511,0.600146600696351
-84.041984572818,-79.4416030854364,-33.5981386769515,-35.8786786283223,-20.8298398591431,-7.87184539280624,-7.74188815293033,-2.94499874234929,4.60666974092396
-85.3075680125202,-68.2879239032124,-29.2207396266298,-32.4762959726019,-20.4784504222518,-3.27232446824728,-6.58631517972378,3.03350575705532,-1.51776912836251
-88.7218684554626,-76.4114939351739,-27.5489810454251,-31.4052749635898,-17.6028787991538,-9.28699756556497,-4.42131672106052,-4.60735433255021,-3.63145417627861
-78.7648433750026,-66.3444080389006,-15.3202412504957,-28.7278001544337,-9.30932654381535,-9.44132562556086,0.436170878811284,1.8438132604295,-12.315044764906
